authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,Associate,machine-op-inspct,unmarried,MALE,YES,500/1000,unknown,Low Risk,0,37,1,0,-53800,18391.05,7.998863798,1,0.246122387,17,14080,156,3,8496,1086.48,1000,1,7040,1,0,77440,6000000,56320,1
Fire,Side Collision,N,Total Loss,Multi-vehicle Collision,Masters,armed-forces,husband,MALE,NO,250/500,NO,Low Risk,0,36,2,0,-39700,-1368.95,7.998249836,1,0.210982375,20,4570,165,3,1566,1247.87,2000,1,4570,1,0,45700,0,36560,2
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,PhD,sales,other-relative,FEMALE,YES,100/300,NO,High Risk,1,41,2,81300,0,20791.05,3.999727539,1,0.736645190,10,7340,253,3,631,1312.75,2000,1,14680,1,0,80740,0,58720,2
Ambulance,Front Collision,Y,Major Damage,Multi-vehicle Collision,MD,sales,not-in-family,MALE,unknown,100/300,unknown,Medium Risk,1,26,0,0,-22200,-15128.95,3.999298369,1,0.650287061,3,2850,10,3,2441,765.64,2000,1,5700,1,0,31350,0,22800,3
Other,Side Collision,N,Total Loss,Single Vehicle Collision,Associate,handlers-cleaners,other-relative,FEMALE,unknown,100/300,unknown,Low Risk,0,33,0,0,-38600,-13428.95,3.499500071,1,0.123744474,0,3500,158,1,396,1327.41,2000,0,7000,1,0,35000,0,24500,0
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,PhD,protective-serv,own-child,MALE,NO,500/1000,unknown,Low Risk,0,59,2,39000,0,9671.05,6.998970740,1,0.237172892,10,13600,436,3,1605,1338.55,1000,1,6800,1,0,68000,0,47600,2
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,Masters,machine-op-inspct,unmarried,FEMALE,unknown,250/500,YES,Low Risk,0,30,2,43900,0,20571.05,4.499653873,1,0.170627498,13,13000,91,3,1665,1316.63,2000,0,13000,1,0,84500,8000000,58500,0
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,MD,transport-moving,wife,FEMALE,unknown,500/1000,NO,Low Risk,0,42,2,0,-39500,14921.05,3.499768227,1,0.185722243,14,7550,256,1,8322,1286.44,1000,0,15100,1,0,75500,0,52850,1
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,High School,exec-managerial,not-in-family,MALE,unknown,500/1000,NO,Low Risk,0,46,1,0,0,22471.05,3.999735117,1,0.149674575,22,15100,274,3,6553,1372.18,1000,0,15100,1,0,90600,0,60400,3
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,adm-clerical,wife,FEMALE,unknown,500/1000,YES,Low Risk,0,45,1,39400,-63900,10311.05,4.499580263,1,0.250325166,8,5360,275,3,8444,1447.77,2000,1,10720,1,0,64320,0,48240,1
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,High School,transport-moving,not-in-family,FEMALE,unknown,250/500,unknown,Low Risk,0,33,1,0,0,-15738.95,6.997792494,1,0.145729657,1,6340,1,3,7062,903.32,500,0,3170,1,0,31700,0,22190,0
Other,Side Collision,Y,Major Damage,Single Vehicle Collision,Associate,protective-serv,other-relative,MALE,YES,500/1000,YES,High Risk,1,30,0,51600,-73900,11591.05,3.999676924,1,0.717612151,19,12380,85,1,7764,1454.42,1000,1,12380,1,0,74280,0,49520,1
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,High School,sales,wife,FEMALE,YES,100/300,YES,Low Risk,0,37,0,61600,-30200,22461.05,8.998658918,1,0.325947737,17,13420,233,1,8496,1603.42,2000,1,6710,1,0,80520,0,60390,2
Other,Rear Collision,N,Major Damage,Multi-vehicle Collision,JD,adm-clerical,husband,MALE,YES,250/500,YES,Medium Risk,0,30,0,58500,-46800,6591.05,3.499724864,1,0.556546555,13,6360,142,3,4593,1616.58,2000,1,12720,1,0,63600,0,44520,3
Police,Front Collision,N,Total Loss,Single Vehicle Collision,High School,handlers-cleaners,husband,MALE,YES,250/500,unknown,Low Risk,0,44,1,0,0,-11688.95,7.997561719,1,0.099064448,4,3280,266,1,5505,1611.83,500,0,3280,1,0,32800,0,26240,2
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,Masters,priv-house-serv,other-relative,FEMALE,NO,500/1000,NO,Low Risk,0,50,0,0,0,-8468.95,5.998778253,1,0.147746898,14,9820,350,3,3527,889.13,500,0,4910,1,0,44190,0,29460,2
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,College,exec-managerial,not-in-family,MALE,NO,250/500,YES,Medium Risk,1,26,2,0,0,-2648.95,6.998611387,1,0.544218411,4,10080,97,2,8497,1252.08,1000,1,5040,1,0,50400,0,35280,2
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,JD,tech-support,not-in-family,MALE,YES,500/1000,YES,Low Risk,0,55,1,0,-65400,23951.05,6.999208234,1,0.236391196,23,17680,399,3,7969,995.56,2000,1,8840,1,0,88400,0,61880,1
Fire,Front Collision,N,Total Loss,Multi-vehicle Collision,High School,farming-fishing,own-child,FEMALE,unknown,100/300,YES,Low Risk,0,49,0,0,-42100,10471.05,7.998677904,1,0.207401873,21,12100,305,3,2004,1347.92,2000,1,6050,1,0,66550,0,48400,2
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,PhD,craft-repair,own-child,MALE,unknown,100/300,YES,Low Risk,0,47,0,0,0,9911.05,3.999665580,1,0.128467575,23,5980,276,3,7878,1724.09,1000,0,11960,1,0,65780,0,47840,0
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,MD,armed-forces,husband,MALE,YES,250/500,unknown,High Risk,1,40,0,0,0,-248.950000000,7.998301847,1,0.782597591,6,9420,257,3,929,1379.93,500,1,4710,1,0,51810,0,37680,2
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,protective-serv,own-child,MALE,NO,250/500,NO,High Risk,1,31,1,0,-27900,2551.05,3.999604782,1,0.750681280,21,5060,78,1,5853,1554.64,1000,1,10120,1,0,55660,4000000,40480,0
Fire,Side Collision,N,Major Damage,Single Vehicle Collision,Masters,machine-op-inspct,not-in-family,MALE,unknown,500/1000,unknown,Low Risk,0,28,2,0,0,-8168.95,5.998790566,1,0.242157737,23,9920,129,1,9129,1377.94,1000,1,4960,1,0,44640,0,29760,3
Ambulance,Front Collision,Y,Major Damage,Multi-vehicle Collision,PhD,transport-moving,husband,FEMALE,NO,500/1000,unknown,High Risk,1,46,1,53500,-73600,18551.05,3.999716734,1,0.779627338,3,7060,283,3,5245,1313.33,2000,1,14120,1,0,77660,0,56480,3
unknown,unknown,N,Trivial Damage,Parked Car,JD,tech-support,unmarried,FEMALE,unknown,250/500,NO,Low Risk,0,25,2,67000,-53600,-34168.95,3.995749203,1,0.037042547,8,940,85,1,2357,1259.02,500,0,940,1,0,5640,0,3760,2
unknown,unknown,N,Trivial Damage,Parked Car,MD,prof-specialty,husband,FEMALE,unknown,500/1000,unknown,Low Risk,0,26,2,0,0,-35898.95,3.493975904,1,0.117572073,4,580,101,1,8587,1371.88,1000,0,580,1,0,3190,0,2030,2
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,College,prof-specialty,wife,MALE,YES,100/300,unknown,Low Risk,0,30,0,38900,-48700,8831.05,6.998952253,1,0.313769274,22,0,96,1,4900,1399.27,500,1,6680,1,0,53440,6000000,46760,0
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,JD,armed-forces,unmarried,FEMALE,YES,500/1000,NO,Low Risk,0,31,0,0,0,12821.05,6.999034616,1,0.264777903,16,7250,121,1,2884,1061.98,1000,1,7250,1,0,65250,6000000,50750,1
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,armed-forces,unmarried,MALE,NO,250/500,NO,Low Risk,0,39,2,0,-56600,-3488.95,6.998577525,1,0.191663428,14,4920,176,3,1538,1365.46,500,0,4920,1,0,44280,4000000,34440,1
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,Associate,tech-support,wife,MALE,NO,500/1000,YES,Low Risk,0,37,2,0,-53700,16741.05,6.999103828,1,0.284681122,13,7810,159,1,5976,894.4,1000,1,7810,1,0,70290,0,54670,0
Other,Front Collision,N,Minor Damage,Single Vehicle Collision,Associate,priv-house-serv,husband,FEMALE,YES,250/500,unknown,Low Risk,0,30,1,39600,-64300,31751.05,7.999081621,1,0.201221419,20,8710,120,1,4588,956.69,500,1,8710,1,0,87100,0,69680,1
Fire,Front Collision,N,Total Loss,Multi-vehicle Collision,MD,priv-house-serv,unmarried,MALE,unknown,500/1000,unknown,Low Risk,0,35,1,35400,-49200,3291.05,8.998035363,1,0.151013870,0,4580,212,3,9033,1123.89,2000,0,4580,1,0,50380,0,41220,3
Police,Side Collision,Y,Total Loss,Multi-vehicle Collision,JD,sales,wife,FEMALE,NO,100/300,YES,Medium Risk,1,45,2,0,-61000,7431.05,6.998919920,1,0.653029708,23,12960,290,3,6237,1085.03,500,1,6480,1,0,64800,0,45360,2
Other,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,craft-repair,wife,FEMALE,NO,100/300,YES,Low Risk,0,42,1,25000,0,6871.05,3.499726584,1,0.229652857,13,12800,299,1,2410,1437.33,2000,1,12800,1,0,70400,0,44800,3
Police,Rear Collision,Y,Major Damage,Single Vehicle Collision,College,armed-forces,own-child,MALE,YES,250/500,unknown,High Risk,1,26,2,0,0,9411.05,4.499572284,1,0.740922590,8,0,66,1,5925,988.29,1000,1,10520,1,0,57860,0,47340,2
unknown,unknown,N,Minor Damage,Vehicle Theft,Masters,protective-serv,other-relative,MALE,NO,500/1000,unknown,Low Risk,0,47,0,0,0,-33608.95,4.495317378,1,0.074733270,3,960,334,1,5000,1238.89,500,0,960,1,0,6240,0,4320,3
Police,Rear Collision,Y,Total Loss,Single Vehicle Collision,Associate,tech-support,unmarried,FEMALE,NO,100/300,unknown,Medium Risk,1,38,2,0,0,921.050000000,3.499684713,1,0.602390512,16,16650,216,1,220,1384.64,1000,1,11100,1,0,66600,5000000,38850,3
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,PhD,transport-moving,unmarried,MALE,YES,100/300,YES,Low Risk,0,28,0,75800,0,9351.05,3.999661619,1,0.131646818,19,11820,86,1,8586,1595.07,2000,0,11820,1,0,70920,0,47280,2
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,machine-op-inspct,own-child,MALE,YES,250/500,YES,Low Risk,0,56,2,67400,-43800,-11608.95,3.999392190,1,0.113734247,0,6580,429,1,5891,1127.89,1000,0,6580,1,0,39480,6000000,26320,0
Other,Front Collision,N,Total Loss,Single Vehicle Collision,PhD,handlers-cleaners,husband,FEMALE,YES,500/1000,unknown,Low Risk,0,43,2,46400,-74300,9501.05,8.998292544,1,0.177090984,12,10540,257,1,5809,929.7,2000,0,5270,1,0,63240,6000000,47430,2
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,JD,tech-support,not-in-family,MALE,unknown,100/300,YES,Low Risk,0,34,1,56700,0,11271.05,7.998699398,1,0.306149491,21,12300,15,3,6305,1829.63,1000,1,6150,1,0,67650,0,49200,0
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,MD,craft-repair,unmarried,FEMALE,NO,100/300,unknown,Medium Risk,1,39,1,68600,-22300,6591.05,2.999797857,1,0.471558732,0,14840,230,1,5559,904.7,1000,1,14840,1,0,74200,7000000,44520,3
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,JD,tech-support,own-child,FEMALE,NO,500/1000,YES,Low Risk,0,43,1,47900,-73400,1011.05,2.999768893,1,0.268220081,22,12980,250,1,572,1243.84,1000,1,12980,1,0,64900,0,38940,3
Ambulance,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Associate,machine-op-inspct,other-relative,FEMALE,NO,500/1000,unknown,Medium Risk,1,44,1,47200,0,-12798.95,6.998050682,1,0.563641613,20,7180,270,3,4231,1030.95,2000,1,3590,1,0,35900,0,25130,0
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,High School,craft-repair,unmarried,FEMALE,unknown,100/300,NO,Low Risk,0,26,1,0,-41500,-1388.95,3.499664783,1,0.183483890,0,5220,65,1,3422,1285.03,500,0,10440,1,0,52200,3000000,36540,3
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,adm-clerical,own-child,MALE,NO,100/300,unknown,Low Risk,0,57,0,67400,-83200,20571.05,4.499653873,1,0.153936427,20,6500,475,1,7287,1216.56,500,0,13000,1,0,78000,0,58500,2
Ambulance,Front Collision,N,Minor Damage,Multi-vehicle Collision,High School,adm-clerical,own-child,FEMALE,unknown,500/1000,YES,Low Risk,0,27,0,56400,-32800,15831.05,7.998809701,1,0.152468618,1,6720,77,3,5784,966.26,2000,0,6720,1,0,67200,0,53760,0
Fire,Rear Collision,N,Total Loss,Single Vehicle Collision,MD,prof-specialty,unmarried,FEMALE,unknown,100/300,NO,Low Risk,0,43,0,56700,-65600,8071.05,7.998608938,1,0.236888410,11,11500,256,1,55,1203.17,500,1,5750,1,0,63250,0,46000,0
Other,Side Collision,N,Major Damage,Multi-vehicle Collision,MD,craft-repair,not-in-family,FEMALE,YES,250/500,YES,Low Risk,0,37,1,65600,0,13641.05,8.998429593,1,0.380264003,14,11460,229,3,6451,1212.12,2000,1,5730,1,0,68760,0,51570,1
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,other-service,other-relative,MALE,unknown,250/500,YES,Low Risk,0,28,0,30400,0,5431.05,3.999631030,1,0.223731590,20,10840,110,3,543,1573.93,1000,1,10840,1,0,65040,0,43360,2
Ambulance,Side Collision,Y,Major Damage,Single Vehicle Collision,College,adm-clerical,wife,MALE,unknown,100/300,unknown,High Risk,1,33,1,0,-13200,10371.05,3.499746395,1,0.732831471,22,20700,177,1,4404,1609.67,1000,1,13800,1,0,82800,0,48300,3
Other,Side Collision,N,Total Loss,Single Vehicle Collision,PhD,priv-house-serv,unmarried,MALE,YES,500/1000,NO,Low Risk,0,44,1,0,0,11431.05,7.998703614,1,0.221091234,12,6170,292,1,6574,1097.57,500,1,6170,1,0,61700,0,49360,0
Ambulance,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Associate,transport-moving,unmarried,FEMALE,YES,250/500,YES,High Risk,1,61,2,0,-42600,16741.05,6.999103828,1,0.715416888,3,15620,451,3,6075,1618.65,2000,1,7810,1,0,78100,2000000,54670,1
Ambulance,Rear Collision,Y,Major Damage,Multi-vehicle Collision,College,priv-house-serv,other-relative,FEMALE,unknown,100/300,YES,High Risk,1,24,2,47400,0,8871.05,4.999465869,1,0.742969157,15,9360,61,3,6913,922.67,500,1,9360,1,0,65520,0,46800,1
unknown,unknown,N,Trivial Damage,Parked Car,MD,prof-specialty,own-child,MALE,NO,100/300,YES,Low Risk,0,30,0,0,0,-34328.95,7.982261641,1,0.065478204,8,450,150,1,3755,1342.02,1000,0,450,1,0,4500,0,3600,2
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,Associate,sales,own-child,FEMALE,unknown,100/300,NO,Medium Risk,1,41,0,60700,-54300,-1328.95,5.999016555,1,0.543903623,13,0,283,3,805,1195.01,500,1,6100,1,0,42700,0,36600,2
Police,unknown,Y,Minor Damage,Parked Car,High School,adm-clerical,own-child,FEMALE,YES,500/1000,NO,Medium Risk,1,46,2,0,-55300,-33588.95,6.988727858,1,0.594317800,8,620,291,1,3209,994.74,1000,1,620,1,0,5580,0,4340,2
unknown,unknown,Y,Minor Damage,Parked Car,Masters,adm-clerical,wife,FEMALE,NO,100/300,unknown,Medium Risk,1,31,0,30700,0,-35408.95,3.495145631,1,0.675906784,7,360,162,1,3292,1050.24,1000,1,720,1,0,3600,0,2520,0
unknown,unknown,N,Trivial Damage,Vehicle Theft,Masters,exec-managerial,own-child,FEMALE,unknown,250/500,unknown,Low Risk,0,36,2,68500,0,-35688.95,7.971530249,1,0.099942436,9,280,154,1,4066,1313.51,2000,0,280,1,0,2800,7000000,2240,0
Ambulance,Front Collision,N,Minor Damage,Single Vehicle Collision,Associate,adm-clerical,own-child,FEMALE,YES,500/1000,NO,Low Risk,0,47,1,73000,-37900,4071.05,6.998833528,1,0.175497750,15,6000,289,1,5663,1102.29,2000,0,6000,1,0,54000,0,42000,0
Police,Side Collision,Y,Minor Damage,Single Vehicle Collision,JD,craft-repair,wife,FEMALE,unknown,250/500,unknown,Low Risk,1,19,0,0,-60700,-2328.95,3.999550612,1,0.311896951,5,4450,10,1,180,1185.78,1000,1,8900,1,0,48950,0,35600,2
Other,Rear Collision,N,Major Damage,Multi-vehicle Collision,PhD,exec-managerial,other-relative,MALE,unknown,500/1000,YES,Medium Risk,0,47,0,69400,0,8751.05,2.999807210,1,0.400321106,15,15560,309,4,1357,1527.95,500,1,15560,1,0,77800,0,46680,1
Other,Front Collision,N,Major Damage,Multi-vehicle Collision,High School,protective-serv,other-relative,MALE,NO,100/300,YES,Medium Risk,0,57,2,0,-22400,-2888.95,5.998972779,1,0.414146322,22,11680,396,3,8146,1366.39,1000,1,5840,1,0,52560,0,35040,1
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,PhD,farming-fishing,own-child,FEMALE,YES,500/1000,unknown,Low Risk,0,41,1,0,0,-5848.95,3.999501309,1,0.173170131,16,4010,273,2,1809,1403.9,1000,0,8020,1,0,44110,0,32080,2
Other,Front Collision,N,Total Loss,Single Vehicle Collision,PhD,sales,husband,FEMALE,unknown,500/1000,NO,Low Risk,0,30,1,51500,0,16151.05,7.998816743,1,0.254127797,7,13520,129,1,2809,927.23,2000,1,6760,1,0,74360,0,54080,3
unknown,unknown,Y,Minor Damage,Parked Car,JD,armed-forces,wife,FEMALE,unknown,250/500,YES,Medium Risk,1,31,1,59000,0,-33168.95,6.989720999,1,0.686912559,2,680,140,1,6500,1554.86,2000,1,680,1,0,6120,6000000,4760,2
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,transport-moving,unmarried,MALE,YES,500/1000,unknown,Low Risk,0,53,0,45700,0,8781.05,4.499566516,1,0.187123005,17,5190,419,4,6216,736.07,2000,0,10380,1,0,62280,6000000,46710,0
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,Masters,sales,other-relative,FEMALE,YES,250/500,unknown,Low Risk,0,44,1,0,-56800,-20918.95,3.499279984,1,0.079225953,12,4860,315,3,7948,974.16,1000,0,4860,1,0,26730,6000000,17010,0
Ambulance,Rear Collision,N,Major Damage,Single Vehicle Collision,Associate,craft-repair,own-child,FEMALE,NO,500/1000,unknown,Medium Risk,0,29,1,0,-85900,15031.05,7.998791723,1,0.484582250,9,6620,72,1,7468,973.8,500,1,6620,1,0,66200,0,52960,0
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,JD,other-service,not-in-family,MALE,unknown,100/300,unknown,Low Risk,0,26,1,0,-79800,-6078.95,6.998461877,1,0.265025334,16,9100,32,1,106,1260.32,2000,1,4550,1,0,45500,6000000,31850,2
Ambulance,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,transport-moving,own-child,MALE,unknown,100/300,unknown,Low Risk,0,41,2,0,0,6271.05,9.997738068,1,0.163205546,19,4420,230,3,8457,1464.03,1000,0,4420,1,0,53040,0,44200,0
Other,Front Collision,Y,Major Damage,Multi-vehicle Collision,College,other-service,other-relative,MALE,NO,100/300,unknown,High Risk,1,32,1,0,-54100,-2368.95,6.998622318,1,0.750897062,14,10160,157,3,1899,617.11,2000,1,5080,1,0,50800,0,35560,2
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,craft-repair,own-child,FEMALE,unknown,250/500,unknown,Low Risk,0,41,1,81800,0,-2568.95,7.998190455,1,0.167100024,18,4420,265,3,6315,1724.46,2000,0,4420,1,0,44200,6000000,35360,3
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,PhD,exec-managerial,other-relative,FEMALE,unknown,500/1000,YES,Low Risk,0,34,1,64800,-24300,7831.05,7.998601643,1,0.266227774,23,11440,47,1,4025,1161.31,500,1,5720,1,0,62920,0,45760,3
Other,Rear Collision,Y,Minor Damage,Multi-vehicle Collision,PhD,exec-managerial,not-in-family,MALE,YES,250/500,unknown,High Risk,1,29,0,36100,-42300,921.050000000,6.998738966,1,0.704861397,15,5550,113,3,2561,1091.73,2000,1,5550,1,0,49950,0,38850,2
Ambulance,Rear Collision,Y,Minor Damage,Single Vehicle Collision,JD,armed-forces,unmarried,MALE,YES,250/500,YES,Medium Risk,1,46,0,0,0,5961.05,6.998883751,1,0.595314288,18,6270,289,1,3925,1209.07,2000,1,6270,1,0,56430,0,43890,1
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,protective-serv,own-child,FEMALE,YES,250/500,NO,Low Risk,0,41,2,0,0,25841.05,3.499807914,1,0.189175667,16,18220,254,1,382,1241.04,2000,0,18220,1,0,100210,0,63770,2
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,High School,prof-specialty,wife,MALE,YES,500/1000,NO,Low Risk,0,30,1,46400,0,291.050000000,6.998718183,1,0.147883478,12,5460,115,3,5275,1757.21,500,0,5460,1,0,49140,0,38220,0
Ambulance,Side Collision,N,Major Damage,Single Vehicle Collision,College,other-service,not-in-family,FEMALE,unknown,250/500,NO,Medium Risk,0,38,0,0,-62500,6631.05,7.998563992,1,0.551350028,16,16710,236,1,8167,802.24,1000,1,5570,1,0,66840,0,44560,1
Other,Front Collision,N,Total Loss,Single Vehicle Collision,Associate,machine-op-inspct,wife,MALE,unknown,500/1000,unknown,Low Risk,0,21,1,0,-45300,10651.05,6.998991500,1,0.178722792,21,6940,7,1,8487,1342.72,1000,0,6940,1,0,62460,0,48580,2
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,JD,machine-op-inspct,wife,MALE,unknown,100/300,YES,Low Risk,0,36,0,0,0,2041.05,3.499693547,1,0.224065123,15,11420,208,3,7071,1209.41,2000,1,11420,1,0,62810,5000000,39970,1
Ambulance,Front Collision,N,Major Damage,Single Vehicle Collision,JD,priv-house-serv,own-child,FEMALE,unknown,500/1000,YES,Low Risk,0,33,1,36700,-73400,2691.05,5.999113868,1,0.389931372,21,6770,126,1,2625,1141.71,1000,1,6770,1,0,54160,2000000,40620,2
Ambulance,Rear Collision,N,Major Damage,Single Vehicle Collision,JD,exec-managerial,unmarried,FEMALE,NO,100/300,YES,Low Risk,0,35,0,0,-51000,-4048.95,6.998554018,1,0.263529758,1,9680,48,1,2450,1090.03,500,1,4840,1,0,48400,0,33880,2
Fire,Side Collision,N,Total Loss,Multi-vehicle Collision,PhD,exec-managerial,other-relative,MALE,NO,250/500,unknown,Low Risk,0,48,0,54900,-36700,2111.05,6.998776438,1,0.198497580,17,5720,297,3,2043,1464.73,1000,0,5720,1,0,51480,3000000,40040,0
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,High School,prof-specialty,husband,FEMALE,NO,100/300,NO,Low Risk,0,36,2,0,-36600,-1738.95,3.499661541,1,0.183333505,5,5170,160,3,987,1118.58,1000,0,10340,1,0,51700,0,36190,1
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,MD,exec-managerial,own-child,MALE,unknown,250/500,unknown,Low Risk,0,58,1,0,-42700,11211.05,8.998351950,1,0.270799778,15,10920,406,3,4109,1117.04,2000,1,5460,1,0,65520,0,49140,2
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,High School,farming-fishing,own-child,MALE,NO,500/1000,NO,High Risk,1,31,2,40700,-41600,-4538.95,3.499633162,1,0.738726499,2,4770,157,4,8962,1257.83,500,1,9540,1,0,47700,7000000,33390,2
unknown,unknown,N,Minor Damage,Vehicle Theft,PhD,machine-op-inspct,not-in-family,FEMALE,NO,250/500,YES,Low Risk,0,31,2,61400,-57500,-33868.95,6.987951807,1,0.041348479,3,580,146,1,6330,1082.72,2000,0,580,1,0,5220,0,4060,0
Other,Side Collision,N,Major Damage,Single Vehicle Collision,High School,protective-serv,unmarried,MALE,unknown,100/300,NO,Medium Risk,0,57,1,55600,0,17061.05,4.499631781,1,0.401974368,19,6110,409,1,7101,1191.8,1000,1,12220,1,0,73320,6000000,54990,0
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,adm-clerical,wife,MALE,YES,100/300,YES,Low Risk,0,46,0,0,-28800,14501.05,6.999065545,1,0.208406096,17,14980,252,1,3442,1242.02,1000,1,7490,1,0,74900,0,52430,2
Police,unknown,N,Trivial Damage,Vehicle Theft,High School,prof-specialty,unmarried,FEMALE,YES,250/500,unknown,Low Risk,0,27,0,0,-47400,-35608.95,7.972508591,1,0.106787191,7,580,6,1,8231,1075.71,500,0,290,1,0,3190,0,2320,1
